1.392,1,0.661,1,1.547,1,0.23,1
1.445,1,0.666,1,1.419,1,0.236,1
1.463,1,0.665,1,1.598,1,0.239,1
1.456,2,0.716,2,1.45,2,0.184,2
1.457,2,0.724,2,1.47,2,0.28,2
1.488,2,0.739,2,1.491,2,0.281,2
1.422,3,0.696,3,1.712,3,0.198,3
1.417,3,0.698,3,1.731,3,0.2,3
1.418,3,0.725,3,1.725,3,0.201,3
